,Week Number,Date,region,Influenza Positive Cases
19720,201724,2017-06-11,Central,1
19730,201724,2017-06-11,Lower Southern,1
19740,201724,2017-06-11,Northern,0
19750,201724,2017-06-11,Upper Southern,0
19760,201725,2017-06-18,Bay Area,7
19770,201725,2017-06-18,California,14
19780,201725,2017-06-18,Central,0
19790,201725,2017-06-18,Lower Southern,4
19800,201725,2017-06-18,Northern,1
19810,201725,2017-06-18,Upper Southern,2
19820,201726,2017-06-25,Bay Area,3
19830,201726,2017-06-25,California,4
19840,201726,2017-06-25,Central,0
19850,201726,2017-06-25,Lower Southern,1
19860,201726,2017-06-25,Northern,0
19870,201726,2017-06-25,Upper Southern,0
19880,201727,2017-07-02,Bay Area,2
19890,201727,2017-07-02,California,8
19900,201727,2017-07-02,Central,1
19910,201727,2017-07-02,Lower Southern,4
19920,201727,2017-07-02,Northern,1
19930,201727,2017-07-02,Upper Southern,0
19940,201728,2017-07-09,Bay Area,4
19950,201728,2017-07-09,California,6
19960,201728,2017-07-09,Central,0
19970,201728,2017-07-09,Lower Southern,1
19980,201728,2017-07-09,Northern,1
19990,201728,2017-07-09,Upper Southern,0
20000,201729,2017-07-16,Bay Area,2
20010,201729,2017-07-16,California,3
20020,201729,2017-07-16,Central,1
20030,201729,2017-07-16,Lower Southern,0
20040,201729,2017-07-16,Northern,0
20050,201729,2017-07-16,Upper Southern,0
20060,201730,2017-07-23,Bay Area,4
20070,201730,2017-07-23,California,18
20080,201730,2017-07-23,Central,2
20090,201730,2017-07-23,Lower Southern,12
20100,201730,2017-07-23,Northern,0
20110,201730,2017-07-23,Upper Southern,0
20120,201731,2017-07-30,Bay Area,2
20130,201731,2017-07-30,California,2
20140,201731,2017-07-30,Central,0
20150,201731,2017-07-30,Lower Southern,0
20160,201731,2017-07-30,Northern,0
20170,201731,2017-07-30,Upper Southern,0
20180,201732,2017-08-06,Bay Area,1
20190,201732,2017-08-06,California,2
20200,201732,2017-08-06,Central,0
20210,201732,2017-08-06,Lower Southern,0
20220,201732,2017-08-06,Northern,0
20230,201732,2017-08-06,Upper Southern,1
20240,201733,2017-08-13,Bay Area,3
20250,201733,2017-08-13,California,6
20260,201733,2017-08-13,Central,0
20270,201733,2017-08-13,Lower Southern,2
20280,201733,2017-08-13,Northern,0
20290,201733,2017-08-13,Upper Southern,1
20300,201734,2017-08-20,Bay Area,3
20310,201734,2017-08-20,California,5
20320,201734,2017-08-20,Central,0
20330,201734,2017-08-20,Lower Southern,2
20340,201734,2017-08-20,Northern,0
20350,201734,2017-08-20,Upper Southern,0
20360,201735,2017-08-27,Bay Area,4
20370,201735,2017-08-27,California,6
20380,201735,2017-08-27,Central,0
20390,201735,2017-08-27,Lower Southern,1
20400,201735,2017-08-27,Northern,0
20410,201735,2017-08-27,Upper Southern,1
20420,201736,2017-09-03,Bay Area,3
20430,201736,2017-09-03,California,8
20440,201736,2017-09-03,Central,1
20450,201736,2017-09-03,Lower Southern,4
20460,201736,2017-09-03,Northern,0
20470,201736,2017-09-03,Upper Southern,0
20480,201737,2017-09-10,Bay Area,1
20490,201737,2017-09-10,California,12
20500,201737,2017-09-10,Central,0
20510,201737,2017-09-10,Lower Southern,7
20520,201737,2017-09-10,Northern,0
20530,201737,2017-09-10,Upper Southern,4
20540,201738,2017-09-17,Bay Area,2
20550,201738,2017-09-17,California,14
20560,201738,2017-09-17,Central,0
20570,201738,2017-09-17,Lower Southern,4
20580,201738,2017-09-17,Northern,0
20590,201738,2017-09-17,Upper Southern,8
20600,201739,2017-09-24,Bay Area,8
20610,201739,2017-09-24,California,16
20620,201739,2017-09-24,Central,0
20630,201739,2017-09-24,Lower Southern,1
20640,201739,2017-09-24,Northern,0
20650,201739,2017-09-24,Upper Southern,7
20660,201740,2017-10-01,Bay Area,2
20670,201740,2017-10-01,California,22
20680,201740,2017-10-01,Central,6
20690,201740,2017-10-01,Lower Southern,9
20700,201740,2017-10-01,Northern,0
20710,201740,2017-10-01,Upper Southern,5
20720,201741,2017-10-08,Bay Area,3
20730,201741,2017-10-08,California,30
20740,201741,2017-10-08,Central,7
20750,201741,2017-10-08,Lower Southern,13
20760,201741,2017-10-08,Northern,3
20770,201741,2017-10-08,Upper Southern,4
20780,201742,2017-10-15,Bay Area,15
20790,201742,2017-10-15,California,34
20800,201742,2017-10-15,Central,0
20810,201742,2017-10-15,Lower Southern,13
20820,201742,2017-10-15,Northern,3
20830,201742,2017-10-15,Upper Southern,3
20840,201743,2017-10-22,Bay Area,13
20850,201743,2017-10-22,California,38
20860,201743,2017-10-22,Central,7
20870,201743,2017-10-22,Lower Southern,14
20880,201743,2017-10-22,Northern,1
20890,201743,2017-10-22,Upper Southern,3
20900,201744,2017-10-29,Bay Area,7
20910,201744,2017-10-29,California,49
20920,201744,2017-10-29,Central,7
20930,201744,2017-10-29,Lower Southern,23
20940,201744,2017-10-29,Northern,4
20950,201744,2017-10-29,Upper Southern,8
20960,201745,2017-11-05,Bay Area,21
20970,201745,2017-11-05,California,71
20980,201745,2017-11-05,Central,6
20990,201745,2017-11-05,Lower Southern,35
21000,201745,2017-11-05,Northern,1
21010,201745,2017-11-05,Upper Southern,8
21020,201746,2017-11-12,Bay Area,7
21030,201746,2017-11-12,California,62
21040,201746,2017-11-12,Central,7
21050,201746,2017-11-12,Lower Southern,26
21060,201746,2017-11-12,Northern,8
21070,201746,2017-11-12,Upper Southern,14
21080,201747,2017-11-19,Bay Area,15
21090,201747,2017-11-19,California,46
21100,201747,2017-11-19,Central,5
21110,201747,2017-11-19,Lower Southern,15
21120,201747,2017-11-19,Northern,0
21130,201747,2017-11-19,Upper Southern,11
21140,201748,2017-11-26,Bay Area,31
21150,201748,2017-11-26,California,98
21160,201748,2017-11-26,Central,12
21170,201748,2017-11-26,Lower Southern,33
21180,201748,2017-11-26,Northern,1
21190,201748,2017-11-26,Upper Southern,21
21200,201749,2017-12-03,Bay Area,21
21210,201749,2017-12-03,California,98
21220,201749,2017-12-03,Central,5
21230,201749,2017-12-03,Lower Southern,48
21240,201749,2017-12-03,Northern,0
21250,201749,2017-12-03,Upper Southern,24
21260,201750,2017-12-10,Bay Area,46
21270,201750,2017-12-10,California,234
21280,201750,2017-12-10,Central,22
21290,201750,2017-12-10,Lower Southern,109
21300,201750,2017-12-10,Northern,4
21310,201750,2017-12-10,Upper Southern,53
21320,201751,2017-12-17,Bay Area,79
21330,201751,2017-12-17,California,484
21340,201751,2017-12-17,Central,22
21350,201751,2017-12-17,Lower Southern,269
21360,201751,2017-12-17,Northern,9
21370,201751,2017-12-17,Upper Southern,105
21380,201752,2017-12-24,Bay Area,160
21390,201752,2017-12-24,California,791
21400,201752,2017-12-24,Central,41
21410,201752,2017-12-24,Lower Southern,325
21420,201752,2017-12-24,Northern,3
21430,201752,2017-12-24,Upper Southern,262
21440,201801,2017-12-31,Bay Area,291
21450,201801,2017-12-31,California,941
21460,201801,2017-12-31,Central,51
21470,201801,2017-12-31,Lower Southern,371
21480,201801,2017-12-31,Northern,14
21490,201801,2017-12-31,Upper Southern,214
21500,201802,2018-01-07,Bay Area,262
21510,201802,2018-01-07,California,868
21520,201802,2018-01-07,Central,60
21530,201802,2018-01-07,Lower Southern,300
21540,201802,2018-01-07,Northern,54
21550,201802,2018-01-07,Upper Southern,192
21560,201803,2018-01-14,Bay Area,161
21570,201803,2018-01-14,California,542
21580,201803,2018-01-14,Central,66
21590,201803,2018-01-14,Lower Southern,111
21600,201803,2018-01-14,Northern,16
21610,201803,2018-01-14,Upper Southern,188
21620,201804,2018-01-21,Bay Area,111
21630,201804,2018-01-21,California,409
21640,201804,2018-01-21,Central,47
21650,201804,2018-01-21,Lower Southern,74
21660,201804,2018-01-21,Northern,29
21670,201804,2018-01-21,Upper Southern,148
21680,201805,2018-01-28,Bay Area,77
21690,201805,2018-01-28,California,361
21700,201805,2018-01-28,Central,29
21710,201805,2018-01-28,Lower Southern,103
21720,201805,2018-01-28,Northern,8
21730,201805,2018-01-28,Upper Southern,144
21740,201806,2018-02-04,Bay Area,79
21750,201806,2018-02-04,California,382
21760,201806,2018-02-04,Central,12
